,class,feature,value
0,Non-seizure,DFA,0.8145052694812932
1,Non-seizure,DFA,0.7567472863249706
2,Non-seizure,DFA,0.8311889317275323
3,Non-seizure,DFA,0.7669027606553621
4,Non-seizure,DFA,0.9111177979154349
5,Non-seizure,DFA,0.8659329293874707
6,Non-seizure,DFA,0.8139911468347658
7,Non-seizure,DFA,0.8272117532298247
8,Non-seizure,DFA,0.8653362825273218
9,Non-seizure,DFA,1.1195244876694725
10,Non-seizure,DFA,0.8057749169996846
11,Non-seizure,DFA,0.7784558278869526
12,Non-seizure,DFA,0.7570592473533675
13,Non-seizure,DFA,1.017092628353227
14,Non-seizure,DFA,0.9489663696856342
15,Non-seizure,DFA,0.929297322254779
16,Non-seizure,DFA,0.794153870289144
17,Non-seizure,DFA,1.032240906980467
18,Non-seizure,DFA,0.8194277918374621
19,Non-seizure,DFA,0.8606587916776814
20,Non-seizure,DFA,0.9889878945881415
21,Non-seizure,DFA,0.9411686416556854
22,Non-seizure,DFA,0.9031504838258186
23,Non-seizure,DFA,0.7117715028743259
24,Non-seizure,DFA,1.0369014695386791
25,Non-seizure,DFA,0.9355797597382415
26,Non-seizure,DFA,0.6884247148174321
27,Non-seizure,DFA,1.001033675750212
28,Non-seizure,DFA,0.8447606937994215
29,Non-seizure,DFA,1.02180971056307
30,Non-seizure,DFA,0.7338800482797253
31,Non-seizure,DFA,0.8501514915383064
32,Non-seizure,DFA,0.7868250339075877
33,Non-seizure,DFA,0.8799022770697073
34,Non-seizure,DFA,1.1451830107155128
35,Non-seizure,DFA,0.8829483057155724
36,Non-seizure,DFA,1.0106199427760112
37,Non-seizure,DFA,0.7388957705137879
38,Non-seizure,DFA,1.118625666986514
39,Non-seizure,DFA,0.8469562070622914
40,Non-seizure,DFA,0.9726682854695364
41,Non-seizure,DFA,0.786465788072474
42,Non-seizure,DFA,0.7277861141886525
43,Non-seizure,DFA,0.8047331652367753
44,Non-seizure,DFA,0.9395440437560703
45,Non-seizure,DFA,0.9548477334796339
46,Non-seizure,DFA,0.8716560103909254
47,Non-seizure,DFA,0.7870048495104401
48,Non-seizure,DFA,0.6889065905024765
49,Non-seizure,DFA,0.9311445024561239
50,Non-seizure,DFA,0.9018657633503694
51,Non-seizure,DFA,0.7236563171481845
52,Non-seizure,DFA,0.9771604289657281
53,Non-seizure,DFA,1.0879671650600427
54,Non-seizure,DFA,0.8148877305178307
55,Non-seizure,DFA,1.000032437985787
56,Non-seizure,DFA,1.0049439053388005
57,Non-seizure,DFA,0.8636355569818085
58,Non-seizure,DFA,0.7614579893561023
59,Non-seizure,DFA,0.680467259893224
60,Non-seizure,DFA,0.6968012813154052
61,Non-seizure,DFA,0.9024309757096352
62,Non-seizure,DFA,0.8068838899926044
63,Non-seizure,DFA,0.8679552628511306
64,Non-seizure,DFA,0.7530749640534076
65,Non-seizure,DFA,0.8354013234978996
66,Non-seizure,DFA,0.9913744377676665
67,Non-seizure,DFA,0.8900496764206359
68,Non-seizure,DFA,0.9144602389528257
69,Non-seizure,DFA,0.8503485352527432
70,Non-seizure,DFA,0.9565677539273683
71,Non-seizure,DFA,0.8527668956097264
72,Non-seizure,DFA,0.8120136464326091
73,Non-seizure,DFA,0.8232128182966105
74,Non-seizure,DFA,0.8807121433003543
75,Non-seizure,DFA,0.9487880608472198
76,Non-seizure,DFA,0.8974440313051485
77,Non-seizure,DFA,0.63354827555151
78,Non-seizure,DFA,0.8965459328840348
79,Non-seizure,DFA,0.8149316522773767
80,Non-seizure,DFA,0.7314310375808335
81,Non-seizure,DFA,0.7532759493890665
82,Non-seizure,DFA,0.8977341181003384
83,Non-seizure,DFA,0.9167254454244296
84,Non-seizure,DFA,0.8095462100139087
85,Non-seizure,DFA,0.8839284172934346
86,Non-seizure,DFA,0.8386400732935461
87,Non-seizure,DFA,0.8295745543692618
88,Non-seizure,DFA,0.9175962251391004
89,Non-seizure,DFA,0.7971790443241753
90,Non-seizure,DFA,0.956777748151339
91,Non-seizure,DFA,0.8784181279211113
92,Non-seizure,DFA,0.7977085590819347
93,Non-seizure,DFA,0.9580962551148218
94,Non-seizure,DFA,0.7844922590751573
95,Non-seizure,DFA,0.7594364761617808
96,Non-seizure,DFA,0.8746854427663439
97,Non-seizure,DFA,0.9796157790928076
98,Non-seizure,DFA,0.7329071609458426
99,Non-seizure,DFA,0.8503343181456142
100,Non-seizure,DFA,0.8876205971037129
101,Non-seizure,DFA,0.78374388105193
102,Non-seizure,DFA,0.875872617506009
103,Non-seizure,DFA,0.8812925856740729
104,Non-seizure,DFA,0.798116360945708
105,Non-seizure,DFA,0.831860954443177
106,Non-seizure,DFA,1.0132742928292178
107,Non-seizure,DFA,0.8915295341031605
108,Non-seizure,DFA,1.0433434403698443
109,Non-seizure,DFA,0.5182579829665875
110,Non-seizure,DFA,0.493048882138193
111,Non-seizure,DFA,0.6306696116400579
112,Non-seizure,DFA,0.6285012235640542
113,Non-seizure,DFA,0.44518056709163106
114,Non-seizure,DFA,0.4369276987533035
115,Non-seizure,DFA,0.7348545658942802
116,Non-seizure,DFA,0.4789515164162224
117,Non-seizure,DFA,0.7504714318380917
118,Non-seizure,DFA,0.5341858377073035
119,Non-seizure,DFA,0.5417247538019018
120,Non-seizure,DFA,0.7109117681863864
121,Non-seizure,DFA,0.4458078703592451
122,Non-seizure,DFA,0.602374362011009
123,Non-seizure,DFA,0.615568806316296
124,Non-seizure,DFA,0.623913832971909
125,Non-seizure,DFA,0.5252004895257311
126,Non-seizure,DFA,0.4932554088176953
127,Non-seizure,DFA,0.6292404433165439
128,Non-seizure,DFA,0.6658721551670327
129,Non-seizure,DFA,0.7101926845231368
130,Non-seizure,DFA,0.625746517884688
131,Non-seizure,DFA,0.6666407394553425
132,Non-seizure,DFA,0.6878234762311164
133,Non-seizure,DFA,0.7693658331847886
134,Non-seizure,DFA,0.5402500527219388
135,Non-seizure,DFA,0.665288853324181
136,Non-seizure,DFA,0.5050834328831061
137,Non-seizure,DFA,0.5145886786553154
138,Non-seizure,DFA,0.5307213743939733
139,Non-seizure,DFA,0.6348659458063295
140,Non-seizure,DFA,0.5069340266329165
141,Non-seizure,DFA,0.5325823050313712
142,Non-seizure,DFA,0.6093453338508926
143,Non-seizure,DFA,0.7024123873633163
144,Non-seizure,DFA,0.4793972067484834
145,Non-seizure,DFA,0.588366946399075
146,Non-seizure,DFA,0.7071117858549587
147,Non-seizure,DFA,0.6315220132565859
148,Non-seizure,DFA,0.7007302030762124
149,Non-seizure,DFA,0.7393979955985034
150,Non-seizure,DFA,0.7681166403422733
151,Non-seizure,DFA,0.57983100388639
152,Non-seizure,DFA,0.528689564855415
153,Non-seizure,DFA,0.5274869854270821
154,Non-seizure,DFA,0.6738515231015296
155,Non-seizure,DFA,0.4346164130701318
156,Non-seizure,DFA,0.6550392413766879
157,Non-seizure,DFA,0.5990458774864833
158,Non-seizure,DFA,0.6734324491383807
159,Non-seizure,DFA,0.6045533183523666
160,Non-seizure,DFA,0.7468949659399364
161,Non-seizure,DFA,0.6523540560766071
162,Non-seizure,DFA,0.6229566288342854
163,Non-seizure,DFA,0.6277516042092651
164,Non-seizure,DFA,0.7117883952586167
165,Non-seizure,DFA,0.8161146618330486
166,Non-seizure,DFA,0.6239422743754585
167,Non-seizure,DFA,0.6748364461531344
168,Non-seizure,DFA,0.7341655942250263
169,Non-seizure,DFA,0.6545932700260555
170,Non-seizure,DFA,0.7171770187311814
171,Non-seizure,DFA,0.7371351793854514
172,Non-seizure,DFA,0.7238796476578659
173,Non-seizure,DFA,0.5982567203259592
174,Non-seizure,DFA,0.7201130688437619
175,Non-seizure,DFA,0.6122745903978515
176,Non-seizure,DFA,0.6800706391967823
177,Non-seizure,DFA,0.9952851439633944
178,Non-seizure,DFA,0.9105397680161583
179,Non-seizure,DFA,0.6193977629175719
180,Non-seizure,DFA,0.6773723054456042
181,Non-seizure,DFA,0.8146606784240409
182,Non-seizure,DFA,0.5963746694851396
183,Non-seizure,DFA,0.801421334964124
184,Non-seizure,DFA,0.6060829024184805
185,Non-seizure,DFA,0.6166316995844799
186,Non-seizure,DFA,0.7042291101889804
187,Non-seizure,DFA,0.6213404111455786
188,Non-seizure,DFA,0.7115830767445513
189,Non-seizure,DFA,0.69697784264822
190,Non-seizure,DFA,0.7278193528586496
191,Non-seizure,DFA,0.6026782200144494
192,Non-seizure,DFA,0.6612502268576055
193,Non-seizure,DFA,0.4157803407757654
194,Non-seizure,DFA,0.4243773522789125
195,Non-seizure,DFA,0.49453726744718446
196,Non-seizure,DFA,0.631918141007402
197,Non-seizure,DFA,0.7916552818076786
198,Non-seizure,DFA,0.6532886169935067
199,Non-seizure,DFA,0.44933216434552836
200,Non-seizure,DFA,0.7705981381444252
201,Non-seizure,DFA,0.8327689949627703
202,Non-seizure,DFA,0.8401508106863539
203,Non-seizure,DFA,0.9661218654817321
204,Non-seizure,DFA,0.8991823016241942
205,Non-seizure,DFA,0.9360073997505404
206,Non-seizure,DFA,0.9863637540188178
